NOTA_VENTA,PRODUCTO,DESCRIPCION,PROCESO,ESTADO
13981,TRO154512400004C20,"TAPA 1120*1030*100 C20 AA TRO.",TROQUELADO,LISTA
13982,CAJ039503600325D92,"CAJA 395*360*325 D92 NO.",CALADO,LISTA
13982,CAJ039503600325D92,"CAJA 395*360*325 D92 NO.",OTRO,LISTA
13983,CUB09700650010509B,"CUBIERTA 970*650*105 09B C1.",EMPLACADO,LISTA
13983,CUB09700650010509B,"CUBIERTA 970*650*105 09B C1.",OTRO,LISTA
13985,REL0950002139.709B,"RELLENO 95C21 39.7 09B CELDA 287",ENCOLADO,LISTA
13985,REL0950002139.709B,"RELLENO 95C21 39.7 09B CELDA 287",MULTIPLE,LISTA
13985,REL0950002139.709B,"RELLENO 95C21 39.7 09B CELDA 287",OTRO,LISTA
13986,REL0950002137.709B,"RELLENO 95C21 37.7 09B CELDA 287",OTRO,LISTA
13986,REL0950002137.709B,"RELLENO 95C21 37.7 09B CELDA 287",ENCOLADO,LISTA
13986,REL0950002137.709B,"RELLENO 95C21 37.7 09B CELDA 287",MULTIPLE,LISTA
13987,REL0950001839.509B,"RELLENO 95C18 39.5 09B CELDA 287",OTRO,LISTA
13988,REL0950001839.509B,"RELLENO 95C18 39.5 09B CELDA 287",MULTIPLE,LISTA
13988,REL0950001839.509B,"RELLENO 95C18 39.5 09B CELDA 287",OTRO,LISTA
13988,REL0950001839.509B,"RELLENO 95C18 39.5 09B CELDA 287",ENCOLADO,LISTA
13989,REL0950001839.509B,"RELLENO 95C18 39.5 09B CELDA 287",MULTIPLE,LISTA
13989,REL0950001839.509B,"RELLENO 95C18 39.5 09B CELDA 287",OTRO,LISTA
13989,REL0950001839.509B,"RELLENO 95C18 39.5 09B CELDA 287",ENCOLADO,LISTA
13990,CUB09700650010509B,"CUBIERTA 970*650*105 09B C1.",EMPLACADO,LISTA
13990,CUB09700650010509B,"CUBIERTA 970*650*105 09B C1.",TROZADO,LISTA
13990,CUB09700650010509B,"CUBIERTA 970*650*105 09B C1.",OTRO,LISTA
13991,CAJ071006700810D94,"BIN 710*670*810 D94 TU-",PEGADO,LISTA
13991,CAJ072004900820D94,"BIN 720*490*820 D94 TU-",PLIZADO,LISTA
13991,CAJ072004900820D94,"BIN 720*490*820 D94 TU-",TROZADO,LISTA
13991,CAJ072004900820D94,"BIN 720*490*820 D94 TU-",OTRO,LISTA
13991,CAJ074005100105C20,"TAPA 740*510*105 C20 AA BIN 720*490-",CALADO,LISTA
13992,REL1100002537.509B,"RELLENO 110C25 37.5 09B CELDA 249",OTRO,LISTA
13993,REL1100002132.509B,"RELLENO 110C21 32.5 09B CELDA 291",ENCOLADO,LISTA
13993,REL1100002132.509B,"RELLENO 110C21 32.5 09B CELDA 291",MULTIPLE,LISTA
13993,REL1100002132.509B,"RELLENO 110C21 32.5 09B CELDA 291",OTRO,LISTA
